DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
Gateway,0.5,0.5,4.6,92.6,0.3,0.1,1.4,49.8,50.2,1,1,100,2,2,100,89,73,82,"1,110.20","$15,035,860","$1,498,514","$16,534,374","$14,893",60,506,478,517,26,2.7,6,0.6,152,15.8,364,37.8,249,26,71,43,60.6,104,50,16,8,88,42,88,42,16,8,208,78.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Georgetown,0.5,1.2,1.4,95.6,0,0.1,1.2,51.6,48.4,1,1,100,4,3,75,112,94,83.9,"1,563.50","$15,954,417","$2,498,200","$18,452,617","$11,802",80,528,530,541,9,0.6,2,0.1,209,14.2,286,19.4,99,6.8,107,107,100,189,60,53,17,136,43,112,35,16,5,317,84.9,N/A,N/A,633,535,69,230,30,305,39,155,20,86,11,776,84.8,49,636,582,75,167,22,415,54,140,18,53,7,775,89.1,46
Gill-Montague,2.4,0.1,9.2,82.1,0.3,0.1,5.8,51.6,48.4,1,0,0,4,3,75,93,76,81.7,"1,270.80","$16,770,257","$3,179,687","$19,949,944","$15,699",50,494,472,483,80,8,61,6.1,214,21.3,497,49.5,355,35.5,55,40,72.7,108,52,17,8,91,44,78,38,22,11,208,80.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Global Learning Charter Public,12.6,1.8,28.3,52.4,0.8,0,4.1,47.4,52.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,457,443,461,55,10.8,36,7.1,69,13.6,260,51.2,220,43.3,#N/A,#N/A,#N/A,72,34,18,8,54,25,107,50,34,16,213,69.8,N/A,N/A,384,233,60,87,22,146,37,117,30,40,10,390,80.5,56.5,384,266,68,41,10,225,58,102,26,23,6,391,86.8,40
Gloucester,1.2,1.5,6.7,87.7,0.5,0.5,1.8,51.4,48.6,1,1,100,8,7,87.5,257,236,91.8,"3,410.60","$46,253,450","$4,838,326","$51,091,776","$14,980",155,498,482,502,181,6.1,100,3.4,736,24.4,"1,445",47.9,928,31.3,239,121,50.6,324,49,65,10,259,39,249,37,93,14,666,76.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gosnold,0,0,0,100,0,0,0,50,50,1,1,100,1,0,0,1,1,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Grafton,1,10.8,4,81,0.1,0.1,3,50.6,49.4,1,1,100,6,6,100,215,191,88.8,"3,137.90","$30,914,802","$2,391,148","$33,305,950","$10,614",132,537,522,543,87,2.8,31,1,491,15.5,710,22.4,254,8.1,165,161,97.6,509,72,156,22,353,50,169,24,28,4,706,89.9,N/A,N/A,1372,1181,70,642,38,539,32,347,20,169,10,1697,85.7,53,1365,1353,80,428,25,925,55,257,15,79,5,1689,91.7,51
Granby,0.7,1.9,4.5,91,0.1,0,1.7,52.7,47.3,1,1,100,3,2,66.7,88,68,77.3,"1,003.00","$10,755,242","$2,174,664","$12,929,906","$12,891",45,519,518,536,44,5,23,2.6,143,16,267,30,126,14.3,83,83,100,148,66,25,11,123,55,63,28,14,6,225,85.2,N/A,N/A,408,310,63,131,26,179,36,118,24,67,14,495,80.5,54.5,410,369,74,98,20,271,55,100,20,28,6,497,88.4,49
Greater Fall River Regional Vocational Technical,1.3,2.3,6.1,86.1,0.4,0.1,3.8,57,43,1,1,100,1,1,100,132,125,94.7,#N/A,#N/A,#N/A,#N/A,#N/A,123,443,413,458,27,1.9,0,0,152,10.8,498,35.3,396,28.1,325,116,35.7,252,74,47,14,205,60,77,23,10,3,339,89.7,N/A,N/A,307,271,76,142,40,129,36,62,17,23,6,356,89.1,41,307,342,96,114,32,228,64,14,4,0,0,356,98.8,45
Greater Lawrence Regional Vocational Technical,0.8,0.9,78.3,18.9,0.1,0,1,51.6,48.4,1,1,100,1,1,100,136,113,83.1,#N/A,#N/A,#N/A,#N/A,#N/A,164,388,367,390,329,24.3,107,7.9,285,21,849,62.7,651,48.2,289,133,46,190,56,13,4,177,53,105,31,42,12,337,79.5,N/A,N/A,316,187,54,64,19,123,36,101,29,56,16,344,77.1,39,317,296,86,65,19,231,67,40,12,9,3,345,94.1,57
Greater Lowell Regional Vocational Technical,3.3,16.7,27.4,49.5,0.5,0,2.5,51.3,48.7,1,0,0,1,0,0,182,164,90.1,#N/A,#N/A,#N/A,#N/A,#N/A,174,422,412,432,417,19.6,115,5.4,469,22,"1,225",57.5,783,36.8,495,24,4.8,319,65,46,9,273,55,143,29,30,6,492,87.4,N/A,N/A,462,380,74,183,36,197,38,89,17,45,9,514,89,64,462,452,88,131,25,321,62,45,9,19,4,516,96.2,56
Greater New Bedford Regional Vocational Technical,9.3,0.7,18.4,68.6,0.1,0,2.8,48,52,1,1,100,2,2,100,200,193,96.5,#N/A,#N/A,#N/A,#N/A,#N/A,266,437,415,433,458,21.4,59,2.8,219,10.2,857,40,676,31.6,505,497,98.4,307,58,34,6,273,51,192,36,32,6,531,83.3,N/A,N/A,464,391,72,171,32,220,41,120,22,30,6,541,88.8,32,466,502,92,148,27,354,65,39,7,2,0,543,97.4,40
Greenfield,1.6,1.6,14.8,80.1,0.1,0,1.8,51.3,48.7,1,1,100,3,3,100,154,109,70.8,"2,165.40","$25,722,915","$5,659,383","$31,382,298","$14,493",45,531,484,529,144,8.2,65,3.7,288,16.2,960,54,796,45.5,81,56,69.1,150,43,31,9,119,34,145,41,56,16,351,74.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Groton-Dunstable,1,4.9,1.7,90.9,0.1,0.2,1.2,51.8,48.2,1,1,100,4,4,100,184,168,91.3,"2,704.40","$32,044,583","$3,350,407","$35,394,990","$13,088",215,545,531,579,85,3.3,11,0.4,384,14.8,503,19.4,135,5.2,209,209,100,480,79,169,28,311,51,114,19,13,2,607,93.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hadley,2.4,2.1,6.9,82.4,0.3,2.3,3.5,50.3,49.7,1,1,100,2,1,50,54,46,85.2,758.4,"$7,805,709","$1,355,125","$9,160,834","$12,079",34,510,510,523,43,6.9,22,3.5,81,13,158,25.3,85,13.7,42,42,100,90,66,21,15,69,51,40,29,6,4,136,87.3,N/A,N/A,248,214,64,92,28,122,37,81,24,38,11,333,82,47.5,247,248,75,68,21,180,54,66,20,17,5,331,89.7,51
Halifax,1.1,1.1,0.4,95.9,0.4,0.4,0.9,53,47,1,1,100,1,1,100,39,35,89.7,599,"$7,595,587","$420,368","$8,015,955","$13,382",#N/A,#N/A,#N/A,#N/A,4,0.7,4,0.7,82,14.1,170,29.2,103,18.2,#N/A,#N/A,#N/A,47,66,13,18,34,48,19,27,5,7,71,88,N/A,N/A,247,231,71,106,33,125,38,76,23,19,6,326,88.7,54,246,228,70,51,16,177,54,83,25,15,5,326,88.8,50
Hamilton-Wenham,1.2,3.6,2.1,90.8,0.1,0.5,1.7,47.7,52.3,1,1,100,5,4,80,159,140,88.1,"1,921.70","$26,323,366","$2,861,149","$29,184,515","$15,187",155,576,569,568,39,2.1,18,1,259,13.7,365,19.3,109,5.8,176,176,100,326,73,120,27,206,46,100,22,22,5,448,89.6,N/A,N/A,802,749,76,396,40,353,36,182,18,56,6,987,89.7,44,804,841,85,322,33,519,53,117,12,28,3,986,94.8,56
Hampden Charter School of Science,20.8,3.3,27.4,44,0,0.3,4.2,50.1,49.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,454,465,488,65,18,17,4.7,35,9.7,180,49.9,153,42.4,#N/A,#N/A,#N/A,61,60,13,13,48,48,36,36,4,4,101,84.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hampden-Wilbraham,2.7,2.9,5.2,86.1,0.1,0.1,2.9,49.6,50.4,1,1,100,7,6,85.7,240,210,87.5,"3,366.70","$39,305,826","$5,620,672","$44,926,498","$13,344",260,508,497,535,94,2.9,10,0.3,489,14.9,827,25.2,407,12.6,310,268,86.5,502,61,115,14,387,47,271,33,53,6,826,84.7,N/A,N/A,1414,1180,69,582,34,598,35,390,23,145,8,1715,85.9,53,1405,1372,80,436,25,936,55,273,16,66,4,1711,92.2,50
Hampshire,0.7,0,3.1,94.4,0,0,1.9,48.6,51.4,1,1,100,1,0,0,65,60,92.3,870.3,"$11,143,806","$1,972,728","$13,116,534","$15,071",95,551,536,532,22,2.9,6,0.8,146,19.2,204,26.9,81,10.8,125,11,8.8,155,68,36,16,119,52,62,27,11,5,228,87.1,N/A,N/A,345,226,62,110,30,116,32,90,25,47,13,363,80.4,38,347,308,85,88,24,220,60,43,12,13,4,364,94.3,42
Hancock,2.3,0,0,97.7,0,0,0,51.2,48.8,1,1,100,1,0,0,8,6,75,102.4,"$1,239,172","$49,300","$1,288,472","$12,583",#N/A,#N/A,#N/A,#N/A,0,0,0,0,6,14,12,27.9,9,20.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hanover,0.8,1.7,1.5,95.7,0,0,0.4,52.5,47.5,1,0,0,4,3,75,185,174,94.1,"2,725.20","$28,470,686","$3,735,534","$32,206,220","$11,818",172,513,497,522,39,1.5,33,1.3,479,18.1,590,22.2,133,5,194,194,100,425,66,96,15,329,51,189,29,27,4,641,86.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Harvard,1.8,10.5,2.8,82.2,0,0.2,2.5,52.2,47.8,1,1,100,2,2,100,92,83,90.2,"1,226.20","$15,030,821","$4,003,036","$19,033,857","$15,523",111,588,597,593,44,3.8,11,1,147,12.6,188,16.2,29,2.5,102,102,100,257,87,121,41,136,46,37,12,3,1,297,96,N/A,N/A,420,555,86,325,51,230,36,67,10,21,3,643,94.4,56.5,534,577,90,253,39,324,50,54,8,13,2,644,96.4,60
Hatfield,0.4,0.9,3.3,93.5,0,0,2,52.9,47.1,1,1,100,2,2,100,43,38,88.4,516.9,"$5,526,793","$1,187,482","$6,714,275","$12,990",28,523,514,504,5,1.1,0,0,81,17.5,102,22,28,6.1,31,31,100,67,64,17,16,50,48,33,31,5,5,105,85.7,N/A,N/A,197,146,61,57,24,89,37,72,30,20,8,238,82.5,44,196,191,81,42,18,149,63,42,18,3,1,236,93.4,48
Haverhill,3.4,1.8,28.8,64.6,0.2,0.2,1,53.2,46.8,1,1,100,13,11,84.6,517,466,90.1,"8,352.60","$88,407,972","$14,283,976","$102,691,948","$12,295",206,491,473,507,"1,205",16.6,528,7.3,"1,567",21.5,"3,850",52.8,"2,756",38.1,387,176,45.5,587,38,140,9,447,29,615,40,334,22,1536,70.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hawlemont,0,0,7.3,85.3,1.8,0,5.5,46.8,53.2,1,1,100,1,0,0,11,8,72.7,114,"$1,522,036","$303,811","$1,825,847","$16,016",#N/A,#N/A,#N/A,#N/A,0,0,0,0,18,16.5,53,48.6,41,37.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32,26,51,7,14,19,37,19,37,6,12,51,77.9,48,31,31,61,8,16,23,45,15,29,5,10,51,84.3,70
Helen Y. Davis Leadership Academy Charter Public (District),80.4,0.4,16.5,0,0,0.4,2.2,46.9,53.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26,11.6,21,9.4,33,14.7,130,58,100,44.6,#N/A,#N/A,#N/A,11,15,0,0,11,15,40,56,20,28,71,57.4,N/A,N/A,194,101,46,16,7,85,39,79,36,40,18,220,72.2,63,192,144,66,9,4,135,62,69,32,6,3,219,87.4,53.5
Hill View Montessori Charter Public,4.2,1,18.3,74.2,0.3,0,2,42.8,57.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,5.6,8,2.6,43,14.1,88,28.8,50,16.3,#N/A,#N/A,#N/A,29,45,0,0,29,45,30,47,5,8,64,78.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hilltown Cooperative Charter Public,0.5,1,4.1,88.6,0,0,5.7,51.8,48.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,0,0,29,15,43,22.3,18,9.3,#N/A,#N/A,#N/A,17,46,3,8,14,38,18,49,2,5,37,81.1,N/A,N/A,92,91,70,42,32,49,38,28,22,11,8,130,85.6,66,80,100,78,26,20,74,57,28,22,1,1,129,92.2,63
Hingham,0.8,1.9,2.2,92.6,0,0,2.5,51.7,48.3,1,1,100,6,5,83.3,285,248,87,"4,279.40","$46,738,626","$3,226,394","$49,965,020","$11,676",272,576,573,577,22,0.5,1,0,577,13.3,711,16.4,171,4,246,246,100,808,83,356,37,452,46,138,14,28,3,974,93.8,N/A,N/A,1956,1969,82,1113,46,856,36,330,14,103,4,2402,92.3,54,1950,2114,88,909,38,1205,50,233,10,54,2,2401,95.7,57
Holbrook,16.9,4.4,9.6,62.2,0.2,0.2,6.5,50.9,49.1,1,0,0,3,1,33.3,94,75,79.8,"1,292.20","$16,034,444","$2,194,407","$18,228,851","$14,107",43,453,437,451,126,10.5,51,4.3,245,19.9,566,46,341,28.5,65,65,100,130,50,43,16,87,33,98,38,33,13,261,79.4,N/A,N/A,508,422,63,183,27,239,36,146,22,102,15,670,82.4,58.5,509,435,65,101,15,334,50,165,25,73,11,673,85.4,45
Holland,2.5,1.3,0.8,94.1,0.4,0,0.8,53.2,46.8,1,1,100,1,1,100,21,18,85.7,240.6,"$2,697,332","$460,815","$3,158,147","$13,126",#N/A,#N/A,#N/A,#N/A,0,0,0,0,33,13.9,87,36.7,65,27.4,#N/A,#N/A,#N/A,10,34,2,7,8,28,18,62,1,3,29,74.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Holliston,0.7,5.2,3.9,87.6,0.1,0,2.4,50.2,49.8,1,1,100,4,3,75,226,203,89.8,"2,891.60","$32,495,713","$5,053,781","$37,549,494","$12,986",170,553,548,569,203,7.2,58,2.1,500,17.5,647,22.6,141,5,196,190,96.9,513,79,179,28,334,52,119,18,16,2,648,92.5,N/A,N/A,1266,1216,79,669,43,547,35,250,16,83,5,1549,91.3,57,1236,1296,84,508,33,788,51,187,12,65,4,1548,93.5,54
Holyoke,3.1,0.8,78.8,16.3,0,0,0.9,53.2,46.8,1,0,0,10,7,70,511,440,86.1,"6,589.50","$89,554,632","$20,680,105","$110,234,737","$16,729",151,447,431,465,"2,656",47.7,"1,590",28.5,"1,364",24.1,"4,486",79.3,"3,755",67.4,339,89,26.3,265,23,37,3,228,20,419,37,446,39,1130,57.7,N/A,N/A,1780,700,27,202,8,498,19,837,32,1097,42,2634,57.5,40,1768,892,34,119,5,773,29,913,35,830,31,2635,65,43
Holyoke Community Charter,1.8,0.4,89.6,6.4,0,0,1.7,45.3,54.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,163,23.2,61,8.7,98,13.9,509,72.3,458,65.1,#N/A,#N/A,#N/A,30,25,3,2,27,22,65,54,26,21,121,63.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hopedale,0.8,2,3,92,0.5,0.2,1.5,52.7,47.3,1,1,100,3,3,100,88,78,88.6,"1,328.30","$12,651,422","$2,445,469","$15,096,891","$11,366",76,544,545,528,58,4.7,18,1.5,211,17.1,292,23.7,109,8.9,80,80,100,179,64,53,19,126,45,83,30,19,7,281,84.3,N/A,N/A,537,459,71,234,36,225,35,137,21,49,8,645,87.3,51,535,542,84,173,27,369,57,86,13,19,3,647,93.7,51
Hopkinton,0.8,8.5,2,86.4,0.3,0,2,49,51,1,0,0,6,3,50,253,234,92.5,"3,510.40","$41,783,804","$4,225,015","$46,008,819","$13,106",265,557,547,578,110,3.2,49,1.4,452,13,581,16.7,91,2.6,301,278,92.4,611,77,272,34,339,43,155,20,25,3,791,91.6,N/A,N/A,1572,1500,80,949,50,551,29,307,16,76,4,1883,91.5,61,1560,1634,87,711,38,923,49,197,10,46,2,1877,95,53
Hudson,1.4,2.2,6.2,87.6,0.1,0,2.4,49.4,50.6,1,1,100,6,5,83.3,241,208,86.3,"3,079.10","$39,144,160","$4,827,494","$43,971,654","$14,281",156,524,519,527,413,14.4,141,4.9,489,16.8,974,33.4,487,16.9,192,191,99.5,264,43,54,9,210,34,275,45,73,12,612,75.7,N/A,N/A,1233,850,56,388,25,462,30,439,29,234,15,1523,77.9,44,1234,1043,69,273,18,770,51,377,25,100,7,1520,86.9,49
Hull,1.5,0.5,1.3,95.4,0.1,0.3,1.1,54.9,45.1,1,1,100,3,3,100,92,82,89.1,"1,113.50","$16,943,390","$1,707,761","$18,651,151","$16,750",72,488,476,504,8,0.8,2,0.2,165,15.6,379,35.9,273,26.4,73,73,100,128,56,42,18,86,38,80,35,20,9,228,81.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Innovation Academy Charter,3.9,6.4,4.7,81.3,0.3,0,3.4,49.9,50.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61,551,541,552,13,1.7,13,1.7,152,19.8,208,27.2,74,9.7,#N/A,#N/A,#N/A,157,52,18,6,139,46,125,42,18,6,300,80.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ipswich,0.7,2.2,3.8,89.7,0.1,0,3.6,49.1,50.9,1,0,0,4,4,100,157,140,89.2,"2,038.00","$22,687,056","$4,134,016","$26,821,072","$13,160",138,548,535,540,54,2.8,36,1.9,255,13.2,447,23.1,220,11.5,166,166,100,311,66,101,21,210,45,139,30,21,4,471,87,N/A,N/A,904,756,69,394,36,362,33,236,22,104,9,1096,85.7,42,903,867,79,292,27,575,52,177,16,53,5,1097,91.8,51
King Philip,1,1.4,1.6,94,0.2,0,1.7,52,48,1,1,100,2,2,100,127,116,91.3,"2,161.50","$26,014,299","$3,021,881","$29,036,180","$13,433",252,541,535,547,33,1.6,2,0.1,292,13.6,394,18.3,138,6.6,314,314,100,502,73,161,23,341,49,161,23,29,4,692,90.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kingston,1.4,0.9,1.3,95.5,0.2,0,0.7,50.5,49.5,1,1,100,2,2,100,60,54,90,"1,172.50","$12,440,711","$601,429","$13,042,140","$11,123",#N/A,#N/A,#N/A,#N/A,9,0.9,7,0.7,169,15.6,302,27.9,156,14.8,#N/A,#N/A,#N/A,122,71,49,28,73,42,44,26,6,3,172,88.1,N/A,N/A,478,437,67,224,34,213,33,167,26,50,8,654,86,61,476,453,69,115,18,338,52,156,24,44,7,653,87.5,52
KIPP Academy Boston Charter School (District),67.7,0,30.6,1,0,0,0.7,57.6,42.4,1,1,100,1,1,100,10,6,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,121,42,85,29.5,60,20.8,230,79.9,163,56.6,#N/A,#N/A,#N/A,31,44,8,11,23,32,28,39,12,17,71,74.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KIPP Academy Lynn Charter,26,2.4,60.5,8.9,0,0,2.2,47.4,52.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,488,475,529,393,46.2,140,16.5,96,11.3,513,60.3,368,43.2,#N/A,#N/A,#N/A,223,70,72,23,151,47,84,26,11,3,318,89.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lanesborough,0,0.9,0.9,94.4,0,0,3.7,43.1,56.9,1,1,100,1,1,100,22,18,81.8,225.7,"$3,915,379","$358,387","$4,273,766","$18,936",#N/A,#N/A,#N/A,#N/A,1,0.5,0,0,45,20.8,90,41.7,60,27.8,#N/A,#N/A,#N/A,24,73,4,12,20,61,9,27,0,0,33,90.9,N/A,N/A,86,96,79,50,41,46,38,21,17,4,3,121,92.8,80,86,90,74,33,27,57,47,28,23,4,3,122,90.4,81
Lawrence,1.5,1.6,91.3,5.2,0,0,0.4,51.9,48.1,1,1,100,32,23,71.9,"1,044",769,73.7,"15,060.40","$181,734,263","$29,521,387","$211,255,650","$14,027",339,377,368,396,"9,725",70,"4,157",29.9,"2,362",16.9,"11,201",80,"8,572",61.7,726,726,100,698,25,82,3,616,22,1220,44,864,31,2782,60.9,N/A,N/A,4960,3125,44,1184,17,1941,27,2111,30,1827,26,7063,69.9,53,4927,3156,45,472,7,2684,38,2394,34,1522,22,7072,72.6,49
Lawrence Family Development Charter,0.7,0,98.7,0.6,0,0,0,45.4,54.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,573,84.5,144,21.2,42,6.2,486,71.7,404,59.6,#N/A,#N/A,#N/A,54,47,14,12,40,35,50,43,11,10,115,77.4,N/A,N/A,285,244,70,121,35,123,35,81,23,24,7,349,86.7,54,285,268,77,69,20,199,57,65,19,16,5,349,91.3,57
Lee,0.3,2.5,8.2,86.2,0,0,2.8,48.9,51.1,1,0,0,2,2,100,75,68,90.7,817.7,"$11,274,930","$1,530,537","$12,805,467","$15,660",41,475,469,484,52,7.6,23,3.4,90,13.2,251,36.7,164,24,83,5,6,89,55,16,10,73,45,56,35,17,10,162,79.8,N/A,N/A,293,221,58,109,29,112,29,110,29,49,13,380,79.2,47,294,250,66,68,18,182,48,90,24,39,10,379,85,51
